,cev_sigma,cev_beta,cev_vol_forecast,future_rv_20
2015-03-31,5.319211591996837e+64,-28.489320469565254,0.06649331935976303,0.07817358358991257
2015-04-01,3.2322344941503446e+62,-27.497389224190975,0.07363065964770249,0.08621780111160234
2015-04-02,3.282163087584396e+62,-27.50101290696368,0.06624795401830416,0.0929685598800408
2015-04-06,2.1913326346334017e+62,-27.42340648104139,0.054490311946748554,0.09082085213652617
2015-04-07,1.014606141190093e+60,-26.37914454141049,0.058913534152751114,0.10029194557671799
2015-04-08,1.1429557481586819e+60,-26.404711677210344,0.05304447904413024,0.10086435032880582
2015-04-09,5.375922764701915e+59,-26.259108305585208,0.04684634273299658,0.1006256364439159
2015-04-10,1.683244315583769e+62,-27.37200461642958,0.04040658402536965,0.10938335180178577
2015-04-13,2.283728525092071e+62,-27.428119961860897,0.04667539721414291,0.10953631092531095
2015-04-14,3.4861486049823797e+61,-27.060556253346295,0.04497545436341907,0.10999971474898508
2015-04-15,4.120918188125999e+62,-27.54183817521613,0.03903729039211392,0.10879192701004244
2015-04-16,7.389247432320945e+68,-30.33292089301306,0.0387396164012579,0.11495276922469962
2015-04-17,2.8719768130429023e+78,-34.626993289680925,0.05309553100797917,0.10583860502997652
2015-04-20,5.309699396258867e+71,-31.611969837147598,0.04080745856561045,0.10187310704313267
2015-04-21,8.791606959123298e+70,-31.25958402296294,0.043298510447409094,0.1016985373148544
2015-04-22,3.128970369590606e+75,-33.29402580314293,0.03587057343393013,0.10064946914166138
2015-04-23,3.0435474812646816e+72,-31.947758700612987,0.033665511631545714,0.10076230158451056
2015-04-24,4.527048203747066e+70,-31.131456135800036,0.03159297142100348,0.10105321143279909
2015-04-27,6.87228648165783e+73,-32.55183517185334,0.035637183777397274,0.107507238791077
2015-04-28,4.526667502648034e+69,-30.681178809907014,0.03344879916428604,0.1121812004758496
2015-04-29,2.0855936599782446e+71,-31.422692245842875,0.03810879382922293,0.11111475024071564
2015-04-30,7.72226353640746e+64,-28.548224167195944,0.05338991049577807,0.10705698838227345
