Price,Close
2015-01-02,171.09371948242188
2015-01-05,168.00381469726562
2015-01-06,166.42138671875
2015-01-07,168.49517822265625
2015-01-08,171.4851531982422
2015-01-09,170.11097717285156
2015-01-12,168.7783203125
2015-01-13,168.3036346435547
2015-01-14,167.28759765625
2015-01-15,165.755126953125
2015-01-16,167.9288330078125
2015-01-20,168.2869415283203
2015-01-21,169.1364288330078
2015-01-22,171.65167236328125
2015-01-23,170.71054077148438
2015-01-26,171.11036682128906
2015-01-27,168.85333251953125
2015-01-28,166.6879119873047
2015-01-29,168.22866821289062
2015-01-30,166.1132049560547
2015-02-02,168.17037963867188
2015-02-03,170.602294921875
2015-02-04,169.9527130126953
2015-02-05,171.66831970214844
2015-02-06,171.19363403320312
2015-02-09,170.42739868164062
2015-02-10,172.24302673339844
2015-02-11,172.34298706054688
2015-02-12,174.00038146972656
2015-02-13,174.7166290283203
2015-02-17,174.991455078125
2015-02-18,175.0081024169922
2015-02-19,174.88319396972656
2015-02-20,175.93258666992188
2015-02-23,175.90762329101562
2015-02-24,176.4073028564453
2015-02-25,176.25743103027344
2015-02-26,176.04920959472656
2015-02-27,175.44956970214844
2015-03-02,176.55726623535156
2015-03-03,175.83262634277344
2015-03-04,175.09136962890625
2015-03-05,175.28302001953125
2015-03-06,172.81768798828125
2015-03-09,173.5339813232422
2015-03-10,170.71890258789062
2015-03-11,170.31912231445312
2015-03-12,172.4845733642578
2015-03-13,171.42686462402344
2015-03-16,173.71717834472656
2015-03-17,173.2008056640625
2015-03-18,175.28302001953125
2015-03-19,174.4834747314453
2015-03-20,176.02354431152344
2015-03-23,175.68055725097656
2015-03-24,174.6934356689453
2015-03-25,172.13348388671875
2015-03-26,171.72354125976562
2015-03-27,172.11676025390625
2015-03-30,174.2165985107422
2015-03-31,172.6940155029297
2015-04-01,172.0832977294922
2015-04-02,172.70236206054688
2015-04-06,173.8651885986328
2015-04-07,173.40509033203125
2015-04-08,173.9906768798828
2015-04-09,174.76036071777344
2015-04-10,175.7139892578125
2015-04-13,174.91929626464844
2015-04-14,175.25392150878906
2015-04-15,176.04026794433594
2015-04-16,175.99008178710938
2015-04-17,173.96554565429688
2015-04-20,175.5550994873047
2015-04-21,175.34591674804688
2015-04-22,176.20761108398438
2015-04-23,176.6510009765625
2015-04-24,177.06085205078125
2015-04-27,176.32469177246094
2015-04-28,176.88526916503906
2015-04-29,176.1574249267578
2015-04-30,174.39227294921875
2015-05-01,176.28286743164062
2015-05-04,176.78482055664062
2015-05-05,174.76036071777344
2015-05-06,174.04090881347656
2015-05-07,174.73526000976562
2015-05-08,177.03582763671875
2015-05-11,176.19082641601562
2015-05-12,175.6638641357422
2015-05-13,175.69732666015625
2015-05-14,177.52940368652344
2015-05-15,177.7218017578125
2015-05-18,178.2739715576172
2015-05-19,178.21542358398438
2015-05-20,178.08985900878906
