Price,Close
2015-01-02,170.12498474121094
2015-01-05,167.0526123046875
2015-01-06,165.47914123535156
2015-01-07,167.54122924804688
2015-01-08,170.5142364501953
2015-01-09,169.1477813720703
2015-01-12,167.82273864746094
2015-01-13,167.35073852539062
2015-01-14,166.34034729003906
2015-01-15,164.8166046142578
2015-01-16,166.9780731201172
2015-01-20,167.33421325683594
2015-01-21,168.178955078125
2015-01-22,170.67990112304688
2015-01-23,169.7440185546875
2015-01-26,170.14157104492188
2015-01-27,167.89735412597656
2015-01-28,165.74411010742188
2015-01-29,167.27626037597656
2015-01-30,165.17271423339844
2015-02-02,167.21826171875
2015-02-03,169.63638305664062
2015-02-04,168.99049377441406
2015-02-05,170.6964111328125
2015-02-06,170.224365234375
2015-02-09,169.4624786376953
2015-02-10,171.26780700683594
2015-02-11,171.36720275878906
2015-02-12,173.01522827148438
2015-02-13,173.72744750976562
2015-02-17,174.00067138671875
2015-02-18,174.0172576904297
2015-02-19,173.89306640625
2015-02-20,174.93646240234375
2015-02-23,174.9116668701172
2015-02-24,175.40855407714844
2015-02-25,175.2594757080078
2015-02-26,175.0524444580078
2015-02-27,174.45623779296875
2015-03-02,175.55764770507812
2015-03-03,174.83712768554688
2015-03-04,174.10008239746094
2015-03-05,174.29052734375
2015-03-06,171.83924865722656
2015-03-09,172.55145263671875
2015-03-10,169.7523956298828
2015-03-11,169.35484313964844
2015-03-12,171.5080108642578
2015-03-13,170.45628356933594
2015-03-16,172.73361206054688
2015-03-17,172.22019958496094
2015-03-18,174.29052734375
2015-03-19,173.4955596923828
2015-03-20,175.0269317626953
2015-03-23,174.6859130859375
2015-03-24,173.7042999267578
2015-03-25,171.15892028808594
2015-03-26,170.7512969970703
2015-03-27,171.14230346679688
2015-03-30,173.23016357421875
2015-03-31,171.71624755859375
2015-04-01,171.10897827148438
2015-04-02,171.7245635986328
2015-04-06,172.88084411621094
2015-04-07,172.42327880859375
2015-04-08,173.0055389404297
2015-04-09,173.77090454101562
2015-04-10,174.71914672851562
2015-04-13,173.92889404296875
2015-04-14,174.26165771484375
2015-04-15,175.04356384277344
2015-04-16,174.99371337890625
2015-04-17,172.98065185546875
2015-04-20,174.56118774414062
2015-04-21,174.35317993164062
2015-04-22,175.2099609375
2015-04-23,175.65084838867188
2015-04-24,176.05844116210938
2015-04-27,175.32643127441406
2015-04-28,175.88375854492188
2015-04-29,175.16004943847656
2015-04-30,173.40487670898438
2015-05-01,175.28480529785156
2015-05-04,175.783935546875
2015-05-05,173.77090454101562
2015-05-06,173.05548095703125
2015-05-07,173.74594116210938
2015-05-08,176.03350830078125
2015-05-11,175.1933135986328
2015-05-12,174.66929626464844
2015-05-13,174.70252990722656
2015-05-14,176.52427673339844
2015-05-15,176.7156219482422
2015-05-18,177.2645263671875
2015-05-19,177.2063751220703
2015-05-20,177.08160400390625
2015-05-21,177.59732055664062
2015-05-22,177.17315673828125
2015-05-26,175.2681884765625
2015-05-27,176.9318389892578
2015-05-28,176.73226928710938
2015-05-29,175.6342315673828
2015-06-01,175.99192810058594
2015-06-02,175.81723022460938
2015-06-03,176.2830352783203
2015-06-04,174.79403686523438
2015-06-05,174.49462890625
2015-06-08,173.42152404785156
2015-06-09,173.39657592773438
2015-06-10,175.47613525390625
2015-06-11,176.0417938232422
2015-06-12,174.6942138671875
2015-06-15,173.945556640625
2015-06-16,174.89385986328125
2015-06-17,175.17666625976562
2015-06-18,176.99838256835938
2015-06-19,176.2127227783203
2015-06-22,177.1154327392578
2015-06-23,177.24081420898438
2015-06-24,175.9535675048828
2015-06-25,175.41867065429688
2015-06-26,175.3852081298828
2015-06-29,171.707275390625
2015-06-30,172.0667266845703
2015-07-01,173.44586181640625
2015-07-02,173.287109375
2015-07-06,172.79391479492188
2015-07-07,173.88055419921875
2015-07-08,170.96336364746094
2015-07-09,171.27259826660156
2015-07-10,173.42922973632812
2015-07-13,175.3433837890625
2015-07-14,176.10400390625
2015-07-15,176.04547119140625
2015-07-16,177.45814514160156
2015-07-17,177.60861206054688
2015-07-20,177.70054626464844
2015-07-21,176.99839782714844
2015-07-22,176.6807861328125
2015-07-23,175.68606567382812
2015-07-24,173.8638916015625
2015-07-27,172.8524627685547
2015-07-28,174.97555541992188
2015-07-29,176.17926025390625
2015-07-30,176.22108459472656
2015-07-31,175.9535675048828
2015-08-03,175.36004638671875
2015-08-04,175.017333984375
2015-08-05,175.59408569335938
2015-08-06,174.15643310546875
2015-08-07,173.822021484375
2015-08-10,176.01206970214844
2015-08-11,174.42388916015625
2015-08-12,174.63290405273438
2015-08-13,174.41554260253906
2015-08-14,175.05078125
2015-08-17,176.0287628173828
2015-08-18,175.51893615722656
2015-08-19,174.13133239746094
2015-08-20,170.49526977539062
2015-08-21,165.36294555664062
2015-08-24,158.3999786376953
2015-08-25,156.53594970703125
2015-08-26,162.5459442138672
2015-08-27,166.5665740966797
2015-08-28,166.57493591308594
2015-08-31,165.22909545898438
2015-09-01,160.2974395751953
2015-09-02,163.34007263183594
2015-09-03,163.45712280273438
2015-09-04,160.98291015625
2015-09-08,165.02853393554688
2015-09-09,162.8218231201172
2015-09-10,163.70785522460938
2015-09-11,164.4517822265625
2015-09-14,163.8416290283203
2015-09-15,165.88954162597656
2015-09-16,167.32723999023438
2015-09-17,166.95106506347656
2015-09-18,164.22280883789062
2015-09-21,165.07147216796875
2015-09-22,162.92886352539062
2015-09-23,162.66845703125
2015-09-24,162.0802459716797
2015-09-25,162.03823852539062
2015-09-28,157.9715576171875
2015-09-29,158.06394958496094
2015-09-30,161.01319885253906
2015-10-01,161.43333435058594
2015-10-02,163.84478759765625
2015-10-05,166.7602996826172
2015-10-06,166.18902587890625
2015-10-07,167.55018615722656
2015-10-08,169.06259155273438
2015-10-09,169.1633758544922
2015-10-12,169.32301330566406
2015-10-13,168.25596618652344
2015-10-14,167.44931030273438
2015-10-15,170.0204620361328
2015-10-16,170.79344177246094
2015-10-19,170.8774871826172
2015-10-20,170.6590576171875
2015-10-21,169.60031127929688
2015-10-22,172.4654998779297
2015-10-23,174.3560028076172
2015-10-26,173.92750549316406
2015-10-27,173.59141540527344
2015-10-28,175.56590270996094
2015-10-29,175.46510314941406
