Model,RMSE,MAE
Statistical Baseline,0.08212515413613443,0.04803803915309447
CEV Forecast,0.09544747644792605,0.07755994464284321
Random Forest,0.0888112288529561,0.04936772055040072
XGBoost,0.0903458065517563,0.053779621206839365
