,baseline_forecast,cev_forecast,rf_forecast,xgb_forecast,actual_future_vol
2023-01-03,0.18485780418893621,0.1390203811006499,0.18372033718552785,0.16896135,0.16515055650010843
2023-01-04,0.17960424279627507,0.1251888960141666,0.18402432409592087,0.17097196,0.16896879752301058
2023-01-05,0.1770526736482394,0.14213856266547306,0.1727908421586169,0.1602446,0.16801747846844015
2023-01-06,0.19696172236324708,0.1138800781347415,0.17144212414220708,0.17517388,0.15666319702131404
2023-01-09,0.1945522344428584,0.11734366320075672,0.1856217644926572,0.1962527,0.16023631225488746
2023-01-10,0.194771865647606,0.10150137309918107,0.18576656300060884,0.19561121,0.16745420322142118
2023-01-11,0.1931484087999105,0.08528395266042772,0.1858921300695058,0.18940155,0.16752628995423097
2023-01-12,0.19156214317150372,0.0828073338366282,0.1858921300695058,0.19070023,0.16736387193225166
2023-01-13,0.19075552847550561,0.07690219281627259,0.18502539684032118,0.19437449,0.1711526245713686
2023-01-17,0.1669672575813138,0.07729056091853663,0.18571023809431228,0.19834124,0.17083864143789376
2023-01-18,0.1717283294534476,0.09617197390302182,0.1734275014127711,0.18009153,0.1574499342783114
2023-01-19,0.17088550661793928,0.11091942434848907,0.1693604009716461,0.17114832,0.16458823256943025
2023-01-20,0.18164130098675002,0.0832709948399851,0.16974583492346473,0.15911677,0.1540545122479945
2023-01-23,0.17918107530288999,0.07044983272290219,0.17873959301128076,0.18067573,0.1667799178223614
2023-01-24,0.16917475692847797,0.07362579144408361,0.18065433376928072,0.2025992,0.16680484566502457
2023-01-25,0.16888275572806039,0.06856353901780117,0.17655468405076558,0.18309988,0.16794756288425355
2023-01-26,0.16992033675044177,0.05118638517603763,0.17673538745960174,0.18524873,0.16692061688220483
2023-01-27,0.15986485146813012,0.05170646945944031,0.17675362542163156,0.183539,0.16725961042306198
2023-01-30,0.16072811295769746,0.06346290173212799,0.17619583492150592,0.1782018,0.16194010996555147
2023-01-31,0.1654385162531256,0.053440262739614657,0.17152346600289364,0.1677179,0.1519983038905142
2023-02-01,0.16515055650010843,0.04759877945820086,0.1715200410593929,0.16870724,0.14933873429915495
2023-02-02,0.16896879752301058,0.04196074468210467,0.17133876520747085,0.16525729,0.15149366237629744
2023-02-03,0.16801747846844015,0.055469052039969005,0.17543308272789612,0.18674418,0.14771340428049512
2023-02-06,0.15666319702131404,0.06582947952102643,0.1741439603602038,0.18266243,0.15553028317017173
2023-02-07,0.16023631225488746,0.06176944330988851,0.1655188477734958,0.15444373,0.1465222457889088
2023-02-08,0.16745420322142118,0.0809884668125208,0.17246740561570703,0.16959487,0.15499008805514564
2023-02-09,0.16752628995423097,0.08838988689171463,0.1729468455432813,0.17192489,0.15946113694246666
2023-02-10,0.16736387193225166,0.08930342483043126,0.1704462974365466,0.16962992,0.15845231130730308
2023-02-13,0.1711526245713686,0.08202055751093151,0.17012156823480037,0.17266695,0.16495232546739536
2023-02-14,0.17083864143789376,0.08523772867247924,0.17078254731824663,0.17025732,0.16523195114734418
2023-02-15,0.1574499342783114,0.07219960596228266,0.1705414063946509,0.16533639,0.17926362714424524
2023-02-16,0.16458823256943025,0.07711376544404752,0.17186503796966668,0.165238,0.1775972625592206
2023-02-17,0.1540545122479945,0.08298427031593333,0.17259150019941616,0.17046694,0.1823418808918189
2023-02-21,0.1667799178223614,0.08952035253658262,0.1534149895246394,0.14001639,0.17506111794417936
2023-02-22,0.16680484566502457,0.09252838272243313,0.17032757444300867,0.16617997,0.18559780960422914
2023-02-23,0.16794756288425355,0.09359522111128377,0.173654644911545,0.17496192,0.18472231624346547
2023-02-24,0.16692061688220483,0.09595003121915367,0.17353198511445225,0.17380185,0.1825020694641629
2023-02-27,0.16725961042306198,0.09763612077829717,0.17342951706766147,0.17338839,0.1822166779575023
2023-02-28,0.16194010996555147,0.09556580154419646,0.1740334572645329,0.17231284,0.18189372027364076
2023-03-01,0.1519983038905142,0.09912405183224786,0.17265267058944142,0.16810586,0.1880901457268712
2023-03-02,0.14933873429915495,0.09900226392084888,0.15276799201324986,0.13679647,0.18730515638192005
2023-03-03,0.15149366237629744,0.0931518569575594,0.1506559946481863,0.14035572,0.18538693545333487
2023-03-06,0.14771340428049512,0.09316699898393221,0.14649861161353467,0.13706717,0.18568507795971118
2023-03-07,0.15553028317017173,0.09528127355958999,0.14722391582208638,0.13588801,0.17720493304726145
2023-03-08,0.1465222457889088,0.09622616939844164,0.16629534469067422,0.14733872,0.17779866691448287
2023-03-09,0.15499008805514564,0.10032305605071837,0.14338718859124783,0.12530524,0.16162048751597818
2023-03-10,0.15946113694246666,0.10511243370436367,0.1651476007984107,0.14733872,0.1489466739102357
2023-03-13,0.15845231130730308,0.10749740666541976,0.1715567711460348,0.1622197,0.14837336921188585
2023-03-14,0.16495232546739536,0.0976139023444272,0.1690492751344736,0.16688643,0.14198970103271205
2023-03-15,0.16523195114734418,0.09963305014978241,0.16605557046813235,0.16240308,0.14333369835488913
2023-03-16,0.17926362714424524,0.0932261894342353,0.16607685267388622,0.16936478,0.13430215303476556
2023-03-17,0.1775972625592206,0.09804217211397517,0.17265267181232674,0.18758318,0.12375679701982095
2023-03-20,0.1823418808918189,0.09955228967041004,0.16450076021272464,0.16186821,0.12148646457729823
2023-03-21,0.17506111794417936,0.09343875408395351,0.1730124723483954,0.18647477,0.11521599554613976
2023-03-22,0.18559780960422914,0.10017240407660952,0.16463556563551565,0.1607598,0.09527564957945318
2023-03-23,0.18472231624346547,0.1013504731721542,0.18235751518428414,0.18110749,0.09545570485525265
2023-03-24,0.1825020694641629,0.09840362322597547,0.18264687769606294,0.17979977,0.0942521543071548
2023-03-27,0.1822166779575023,0.09682329129548985,0.17232545445274774,0.1716391,0.11406695506033485
2023-03-28,0.18189372027364076,0.0937751102754814,0.17489958584075102,0.17033137,0.11508219284053452
2023-03-29,0.1880901457268712,0.08998763508309607,0.17504308190201592,0.17995778,0.1243540665256682
2023-03-30,0.18730515638192005,0.08928116953407661,0.18532615779838418,0.20194125,0.12597335122626035
2023-03-31,0.18538693545333487,0.08487992281803647,0.18273838567198253,0.17922933,0.11717243260405069
2023-04-03,0.18568507795971118,0.08803464794608065,0.1867857141768357,0.19856635,0.12400760510986286
2023-04-04,0.17720493304726145,0.09225015083881716,0.1840121558558873,0.18191345,0.12487951945722696
2023-04-05,0.17779866691448287,0.08927049337800634,0.17285142526238648,0.1897932,0.12708677939589064
2023-04-06,0.16162048751597818,0.08544777475419152,0.17249629431709382,0.1897932,0.14279639251639153
2023-04-10,0.1489466739102357,0.08473110419071422,0.17273376503826351,0.17869453,0.1427789997317031
2023-04-11,0.14837336921188585,0.07897211726171087,0.1471930695515745,0.14356604,0.14378366248871524
2023-04-12,0.14198970103271205,0.07264671993805476,0.14657567099034916,0.13750702,0.14372121208451133
2023-04-13,0.14333369835488913,0.0647994416271847,0.119633547652907,0.123669796,0.13590667606898596
2023-04-14,0.13430215303476556,0.06896931367584493,0.12414517741192545,0.12352508,0.13571341038179252
2023-04-17,0.12375679701982095,0.06495107812120834,0.1332367730036889,0.1480534,0.135664710532292
2023-04-18,0.12148646457729823,0.06601495194586376,0.10667743333764217,0.09787378,0.13761434706106015
2023-04-19,0.11521599554613976,0.05988014870527458,0.10740959015460125,0.090766944,0.144654396249815
2023-04-20,0.09527564957945318,0.055285374815195035,0.10775649650519323,0.09197044,0.1467784815165296
2023-04-21,0.09545570485525265,0.0572700639599502,0.11431150900337796,0.14799395,0.14701403285312106
2023-04-24,0.0942521543071548,0.05282103387397871,0.11487283950715915,0.102781,0.1470158985765677
2023-04-25,0.11406695506033485,0.06606493135936506,0.117265682391546,0.11176783,0.1407118695142588
2023-04-26,0.11508219284053452,0.07177595673063414,0.11092276671129421,0.10799584,0.14259878889600336
2023-04-27,0.1243540665256682,0.05324572261225872,0.11243029745379024,0.10758611,0.12778088230565263
2023-04-28,0.12597335122626035,0.047669467998804275,0.1545071039541175,0.19016762,0.1323701278628405
2023-05-01,0.11717243260405069,0.04804869390184711,0.14865097589496443,0.147943,0.13225314710519406
2023-05-02,0.12400760510986286,0.051570070857670715,0.1456362901006398,0.13550611,0.126884150677028
2023-05-03,0.12487951945722696,0.05959476100357367,0.13020948639558388,0.12007417,0.1269348201677307
2023-05-04,0.12708677939589064,0.06603844842401257,0.10993789751452927,0.08377988,0.1300916270294739
2023-05-05,0.14279639251639153,0.04770946555653443,0.11255964012680275,0.084402084,0.11708250434623961
2023-05-08,0.1427789997317031,0.04773829376414587,0.12578741953025946,0.096238084,0.11696344596337464
2023-05-09,0.14378366248871524,0.04799063168990397,0.12373299709223763,0.09419461,0.11635236036991072
2023-05-10,0.14372121208451133,0.04345157518895954,0.12348676818773528,0.09650921,0.11688880927663278
2023-05-11,0.13590667606898596,0.04841423570119092,0.1282648543087911,0.12461702,0.11608363154956484
2023-05-12,0.13571341038179252,0.04860660763134601,0.3039675585260655,0.17558703,0.11783198034222268
2023-05-15,0.135664710532292,0.04196531126583679,0.3517907519365106,0.16629241,0.11863929931481473
2023-05-16,0.13761434706106015,0.04854690057336662,0.3467202100167344,0.1856373,0.11346080582049403
2023-05-17,0.144654396249815,0.038368952024041086,0.1003624348550335,0.1790264,0.11372926220600696
2023-05-18,0.1467784815165296,0.033602891400381585,0.15000972686267908,0.23682068,0.11339407798655698
2023-05-19,0.14701403285312106,0.03693490882657431,0.17525618616604347,0.21321239,0.11589704759129811
2023-05-22,0.1470158985765677,0.035664810758103266,0.17583409012226034,0.21321239,0.11876775951569855
2023-05-23,0.1407118695142588,0.04063570599228623,0.11900493879885436,0.21796963,0.10780087735980949
2023-05-24,0.14259878889600336,0.04999159895925198,0.1020690866200628,0.09157113,0.1082005517594448
2023-05-25,0.12778088230565263,0.04376040776107558,0.11408951916290569,0.1592385,0.1085485683161307
2023-05-26,0.1323701278628405,0.03549512978256523,0.1644368021097292,0.15407588,0.1061797558739939
2023-05-30,0.13225314710519406,0.037815267087607476,0.16971549545943443,0.16025634,0.10615460049302727
2023-05-31,0.126884150677028,0.03877501167264088,0.1136030396551466,0.18647514,0.10237580829328169
2023-06-01,0.1269348201677307,0.03377076550564062,0.10848144314070829,0.08922171,0.1047031661468181
2023-06-02,0.1300916270294739,0.0274353533544315,0.1151795298795516,0.10784849,0.09520897912692758
2023-06-05,0.11708250434623961,0.0326925176653088,0.12262867609446905,0.12462103,0.09498596457200972
2023-06-06,0.11696344596337464,0.03236713510011452,0.11165014658803755,0.11444882,0.1012537376996098
2023-06-07,0.11635236036991072,0.03028761302539608,0.10533129784098619,0.101473406,0.1006951387856307
2023-06-08,0.11688880927663278,0.029406663447631418,0.11054675169873475,0.103575535,0.09939786577206394
2023-06-09,0.11608363154956484,0.030489234683515002,0.15244015383787024,0.1415085,0.10094155957965413
2023-06-12,0.11783198034222268,0.02779608146548934,0.1508401903691421,0.14327013,0.10001181833257211
2023-06-13,0.11863929931481473,0.03083200266462068,0.1529226651769785,0.14327013,0.10100330761326097
2023-06-14,0.11346080582049403,0.036022597160704904,0.150061165307758,0.13240477,0.10131523721427194
2023-06-15,0.11372926220600696,0.03176820712289872,0.145409374463717,0.13240477,0.09339592922973344
2023-06-16,0.11339407798655698,0.043701013631203434,0.1522291264186839,0.17174445,0.09433947121431509
