Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.12498474121094,171.32579919572484,169.08980858140774,170.91172873180355,121465900
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600
2015-01-06,165.4791717529297,167.88077604924092,164.6841506836419,167.35904307763232,209151400
2015-01-07,167.54119873046875,167.88073956316435,166.35696320099726,166.80415376773578,125346700
2015-01-08,170.5142364501953,170.72956120963863,168.93249665478461,168.9490503774883,147217800
2015-01-09,169.14776611328125,170.9448302148578,168.53493734422247,170.92826385990315,158567300
2015-01-12,167.82273864746094,169.43762341842782,167.21819936354106,169.2802746346781,144396100
2015-01-13,167.3507080078125,170.16638190252374,166.05052078045333,169.04010981735388,214553300
2015-01-14,166.3403778076172,166.5391361681046,164.44394075078782,165.33832178191363,192991100
2015-01-15,164.816650390625,167.29278426938683,164.70071113847325,166.97809923436395,176613900
2015-01-16,166.97804260253906,167.1353913848999,164.42736728384997,164.60955928064396,211879600
2015-01-20,167.3341522216797,167.88072826145347,165.7689663888203,167.61571710165006,130991100
2015-01-21,168.17881774902344,168.65914087961016,166.40659712616707,166.8703539042716,122942700
2015-01-22,170.6798553466797,170.81234829538025,167.55776041788667,168.9324774316333,174356000
2015-01-23,169.7440948486328,170.67989840459322,169.61158923007656,170.42316402997878,117516800
2015-01-26,170.1415557861328,170.23265179616268,168.81653784693114,169.52873956995722,92009700
2015-01-27,167.8972930908203,169.04011895690113,167.06915217860907,168.0877619624292,134044600
2015-01-28,165.744140625,169.18092074926022,165.55367173160218,169.08154787208377,168514300
2015-01-29,167.2761993408203,167.53292102009297,164.5350421112368,165.9428918715796,173585400
2015-01-30,165.17271423339844,167.42525868672465,164.9077156934692,166.1002407142217,197729700
2015-02-02,167.21820068359375,167.30929668351396,163.8559508188736,165.669581321377,163107000
2015-02-03,169.63636779785156,169.64465729362138,167.7399308212552,168.11259167452923,124212900
2015-02-04,168.99050903320312,170.08366159772393,168.53502879798614,168.87456975846,134306700
2015-02-05,170.69639587402344,170.84546780487813,169.57841325653533,169.6529429037491,97953200
2015-02-06,170.22434997558594,171.62390999881345,169.70261720951441,171.06076766399516,125672000
2015-02-09,169.46249389648438,170.29891174267553,169.0567002644991,169.57843312899038,87219000
2015-02-10,171.26785278320312,171.52457449325172,169.50390825922682,170.49768765305734,96164200
2015-02-11,171.36721801757812,171.79785489325087,170.45627046247458,171.10221945776905,91087800
2015-02-12,173.01519775390625,173.07317368320975,171.40032550339623,172.16221362577974,97545900
2015-02-13,173.72743225097656,173.7771186932326,172.88272482333429,173.13945916904026,93670400
2015-02-17,174.0006866455078,174.17460179617606,173.16426887773315,173.41270104093434,76968200
2015-02-18,174.01722717285156,174.09175681074964,173.36298887638918,173.62799999303866,80652900
2015-02-19,173.89305114746094,174.2574352250173,173.2802348683247,173.42101732802976,91462500
2015-02-20,174.93653869628906,175.0110683660321,172.85789635073897,173.47900220479303,140896400
2015-02-23,174.91165161132812,174.91165161132812,174.307099633419,174.68805002173943,74411100
2015-02-24,175.40853881835938,175.60729720252223,174.538988262736,174.83711952076607,72472300
2015-02-25,175.25950622558594,175.76467280547013,174.9199653395393,175.28434944784004,73061700
2015-02-26,175.05245971679688,175.32574778048672,174.44790765025743,175.16839895868685,72697900
2015-02-27,174.45616149902344,175.21804959524584,174.40647506785652,174.95303844711958,108076000
2015-03-02,175.5576171875,175.6155804872333,174.50587456702831,174.55556100577942,87491400
2015-03-03,174.83712768554688,175.60730540326986,173.97586658681115,175.12698209643352,110325800
2015-03-04,174.10008239746094,174.31540714911114,173.13115892432225,174.24086485392425,114497200
2015-03-05,174.29054260253906,174.57210748101213,173.7853761387244,174.42303554530858,76873000
2015-03-06,171.83929443359375,173.85996092972624,171.50804301696908,173.42932397896894,188128000
2015-03-09,172.55148315429688,172.90757776811046,171.88069087325783,172.03803970687056,89818900
2015-03-10,169.75233459472656,171.2678341049669,169.71092501842804,171.18502758879842,157121300
2015-03-11,169.35482788085938,170.18296884849192,169.27200872952477,170.00905368526062,110145700
2015-03-12,171.5079803466797,171.57422049665473,169.93450510159317,169.98419153228792,93993500
2015-03-13,170.45623779296875,172.19532604836107,169.42106169936847,171.23469223718448,162410900
2015-03-16,172.73361206054688,172.8247080553119,170.48106804128992,171.18499278596744,136099200
2015-03-17,172.2201690673828,172.60110676504362,171.40858197224705,171.99656750962697,94510400
2015-03-18,174.29054260253906,174.96133472213626,171.11047188394753,171.74814392695924,228808500
2015-03-19,173.49554443359375,174.29884223735098,173.1063171416112,173.8764948644553,117917300
2015-03-20,175.02694702148438,175.53436844942433,174.2616579764139,174.44466325815185,177715100
2015-03-23,174.6859130859375,175.60925341996233,174.6859130859375,175.0352833889691,71784500
2015-03-24,173.7042999267578,175.0185919093405,173.63775140856606,174.56109147262433,77805300
2015-03-25,171.1588897705078,174.14519622246746,171.11730804726218,173.9122827238235,159521700
2015-03-26,170.75135803222656,171.66637204621165,169.7947368945771,170.4934903310777,153067200
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000
2015-03-30,173.2301483154297,173.52961030402437,172.15708359378408,172.1737112038828,96180400
2015-03-31,171.7162628173828,173.10544304719463,171.65804077441965,172.40668968177818,126768700
2015-04-01,171.10903930664062,171.70796356041745,170.11915025684732,171.68300944091325,137303600
2015-04-02,171.72454833984375,172.17373503850223,170.85943016732784,171.0424354464049,86900900
2015-04-06,172.88082885742188,173.39656416417543,170.701418168536,170.83450255255133,114368200
2015-04-07,172.4232940673828,173.6544101425023,172.39002614874036,172.9057613911213,81236300
2015-04-08,173.0055694580078,173.44644234245783,172.2569207428978,172.64788540538498,89351900
2015-04-09,173.77088928222656,174.0038028212306,172.3484539327972,172.83923512621033,85548900
2015-04-10,174.71914672851562,174.76074114299004,173.82077337860102,174.02040625954504,72722900
2015-04-13,173.92892456054688,175.2099616006904,173.87901633430343,174.57775688738096,74436600
2015-04-14,174.26168823242188,174.44469354593394,173.10543431132453,173.72931260025123,75099900
2015-04-15,175.04356384277344,175.55098523943107,174.64428538579418,174.72747421521345,99529300
2015-04-16,174.99374389648438,175.5011655491069,174.51127636670884,174.71092204232482,68934900
2015-04-17,172.9806365966797,174.04538777213105,172.1987071756499,173.8041604387327,191113200
2015-04-20,174.5611114501953,174.8938413864011,173.820776553229,173.90395269086372,92189500
2015-04-21,174.35317993164062,175.401290821746,174.05371786406258,175.24323963429708,72559800
2015-04-22,175.20993041992188,175.39293567880293,173.77084245755444,174.69418255724239,78264600
2015-04-23,175.65086364746094,176.29969608187733,174.69424261211802,174.81069939027384,102585900
2015-04-24,176.0584259033203,176.32462003232672,175.60923917666534,176.06675240287345,61327400
2015-04-27,175.32644653320312,176.74888198105475,175.13511471141135,176.62411139539645,79358100
2015-04-28,175.8837890625,175.93369730038367,174.12861077084412,175.30150513246107,86863500
2015-04-29,175.16006469726562,175.7589761437368,174.35318113994506,174.9936870085861,125684900
2015-04-30,173.4049072265625,174.97708010512378,172.70615385277307,174.58611533755442,161304900
2015-05-01,175.2848358154297,175.32643023772877,174.08698753309534,174.18680399234466,103399700
2015-05-04,175.78392028808594,176.36620404488573,175.60091500840113,175.7090452606993,70927200
2015-05-05,173.77088928222656,175.90040444186292,173.62947839731953,175.5427076329979,113326200
2015-05-06,173.0554656982422,174.6276380453887,171.9907147273087,174.31986223603798,135060200
2015-05-07,173.7459259033203,174.17017122825814,172.6229526914599,172.95568267434402,88244900
2015-05-08,176.033447265625,176.2330928345655,175.33470681358264,175.41789564051606,155877300
2015-05-11,175.19332885742188,176.25808003936282,175.11846651482492,175.99189859029525,75708100
2015-05-12,174.6692352294922,175.2099372218434,173.53793571832358,174.3614594152587,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.5242462158203,176.61574885099893,175.44285489811853,175.71736280365437,95934000
2015-05-15,176.71559143066406,176.85700230725067,176.23312407316172,176.71559143066406,76510100
2015-05-18,177.2646484375,177.51418963474575,176.4827188385617,176.54926738877327,74549700
2015-05-19,177.20635986328125,177.65555926753893,176.9235381304282,177.3810513411224,72114600
2015-05-20,177.08157348632812,177.83022216944553,176.76547117029347,177.30616047556347,76857500
2015-05-21,177.5973358154297,177.80529522504963,176.7738119839141,176.9401896658781,64764600
2015-05-22,177.17306518554688,177.6305656343087,177.10651666560295,177.2146469042835,57433500
2015-05-26,175.26817321777344,177.1065398297752,174.8522544333493,176.68229454624878,124308600
2015-05-27,176.93186950683594,177.16478303853046,175.31810239949857,175.72570742638172,93214000
2015-05-28,176.7322540283203,176.84038430473933,176.04182717237333,176.62411105906452,74974600
2015-05-29,175.63421630859375,176.70728138630633,175.36803483753582,176.66569965442963,124919600
2015-06-01,175.99185180664062,176.63235749126358,175.201596090961,176.29962759516937,93338800
2015-06-02,175.81724548339844,176.50767241025693,174.91054528865243,175.53442366550598,91531000
2015-06-03,176.2830352783203,176.90691352294607,175.79225410549518,176.34958381422064,87820900
2015-06-04,174.79405212402344,176.23312772649365,174.4779497504916,175.5759815578114,151882800
2015-06-05,174.4945831298828,175.16836957906196,173.8374242944559,174.64430781066267,121704700
2015-06-08,173.4215087890625,174.53618088064647,173.34664644724396,174.38644350417422,89063300
2015-06-09,173.39651489257812,173.93721685382914,172.76432299642963,173.39651489257812,105034700
2015-06-10,175.47618103027344,175.858832002378,174.1036537400769,174.1618757856882,134551300
2015-06-11,176.0417938232422,176.424432007937,175.68409705806988,175.9170105686235,73876400
2015-06-12,174.6942138671875,175.91701618303716,174.41970592966666,175.21827562907586,135382400
2015-06-15,173.9456024169922,174.22842422198158,172.84757043126274,173.55463763657374,124384200
2015-06-16,174.8938751220703,174.97706396858496,173.62116446597867,173.79584327368917,85308200
2015-06-17,175.1767120361328,175.7839627439491,174.15355513829485,175.1767120361328,126708600
2015-06-18,176.99838256835938,177.46420953838458,175.20993701711987,175.77558042562677,165867900
2015-06-19,176.21267700195312,176.8312356588325,175.83653181049735,176.7560091714565,130478700
2015-06-22,177.11544799804688,177.70056420665657,176.90647701250222,177.13216924817195,70696000
2015-06-23,177.24078369140625,177.5751448421762,176.8479300654339,177.32437716774217,68476800
2015-06-24,175.9535369873047,177.34946137964792,175.92846149408575,176.97331622678945,92307300
2015-06-25,175.4185791015625,176.58045710201526,175.34335261880636,176.45507963075502,97107400
2015-06-26,175.38514709472656,176.02041419852873,174.83346071915972,175.77800075112447,104174800
2015-06-29,171.707275390625,175.39352658346507,171.63204889801438,173.9056542082529,202621300
