Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.125,171.3258145622169,169.08982374735015,170.91174406115695,121465900
2015-01-05,167.05258178710938,169.24715009688967,166.7461737006491,169.0815244457335,169632600
2015-01-06,165.4791717529297,167.88077604924092,164.6841506836419,167.35904307763232,209151400
2015-01-07,167.5411834716797,167.88072427345165,166.35694805006224,166.80413857607297,125346700
2015-01-08,170.51422119140625,170.72954593158084,168.93248153754053,168.94903525876288,147217800
2015-01-09,169.14781188964844,170.94487647756347,168.53498295474012,170.92831011812547,158567300
2015-01-12,167.82272338867188,169.4376080128101,167.21818415971794,169.28025924336686,144396100
2015-01-13,167.3507537841797,170.16642844907784,166.0505662011731,169.04015605583254,214553300
2015-01-14,166.34043884277344,166.53919727619112,164.44400109008578,165.3383824493862,192991100
2015-01-15,164.81668090820312,167.29281524544783,164.70074163458398,166.9781301521576,176613900
2015-01-16,166.9780731201172,167.1354219312357,164.42739733525644,164.60958936534854,211879600
2015-01-20,167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100
2015-01-21,168.1788787841797,168.6592020890844,166.40665751815214,166.8704144645625,122942700
2015-01-22,170.6798858642578,170.81237883664812,167.55779037723386,168.93250763678003,174356000
2015-01-23,169.7440643310547,170.6798677187709,169.6115587363211,170.42313339031367,117516800
2015-01-26,170.14158630371094,170.23268233008037,168.81656812684636,169.5287699776171,92009700
2015-01-27,167.89730834960938,169.04013431955212,167.0691673621353,168.0877772385284,134044600
2015-01-28,165.74415588378906,169.18093632444723,165.55368697285624,169.0815634381223,168514300
2015-01-29,167.2761993408203,167.53292102009297,164.5350421112368,165.9428918715796,173585400
2015-01-30,165.17266845703125,167.42521228608183,164.90766999054438,166.1001946807976,197729700
2015-02-02,167.21823120117188,167.30932721771725,163.85598072283597,165.66961155632973,163107000
2015-02-03,169.6364288330078,169.6447183317602,167.73999117407354,168.1126521614309,124212900
2015-02-04,168.99041748046875,170.08356945276037,168.5349374920139,168.8744782685372,134306700
2015-02-05,170.69639587402344,170.84546780487813,169.57841325653533,169.6529429037491,97953200
2015-02-06,170.2244110107422,171.62397153579192,169.70267805759966,171.06082899905493,125672000
2015-02-09,169.46250915527344,170.29892707677755,169.05671548674957,169.57844839821885,87219000
2015-02-10,171.267822265625,171.5245439299293,169.50387805595938,170.49765727271208,96164200
2015-02-11,171.3672637939453,171.7979007846517,170.45631599550543,171.10226516334865,91087800
2015-02-12,173.01522827148438,173.07320421101406,171.40035573613238,172.16224399290283,97545900
2015-02-13,173.7274169921875,173.77710343007948,172.88270963873737,173.1394439618939,93670400
2015-02-17,174.00071716308594,174.1746323442568,173.1642992486139,173.41273145538702,76968200
2015-02-18,174.0172576904297,174.09178734139812,173.36301927923287,173.6280304423576,80652900
2015-02-19,173.89306640625,174.25745051578036,173.28025007334028,173.42103254539876,91462500
2015-02-20,174.93649291992188,175.01102257016245,172.85785111829873,173.47895680982546,140896400
2015-02-23,174.91168212890625,174.91168212890625,174.30713004551836,174.68808050030484,74411100
2015-02-24,175.40855407714844,175.6073124786013,174.53900344588288,174.83713472984738,72472300
2015-02-25,175.25949096679688,175.76465750269924,174.919950110312,175.28433418688803,73061700
2015-02-26,175.0524444580078,175.32573249787598,174.44789244416535,175.1683836897917,72697900
2015-02-27,174.4561309814453,175.2180189443908,174.40644455897004,174.95300784262287,108076000
2015-03-02,175.55764770507812,175.61561101488735,174.50590490177964,174.55559134916788,87491400
2015-03-03,174.8371124267578,175.60729007726405,173.97585140318802,175.1269668123476,110325800
2015-03-04,174.10008239746094,174.31540714911114,173.13115892432225,174.24086485392425,114497200
2015-03-05,174.29054260253906,174.57210748101213,173.7853761387244,174.42303554530858,76873000
2015-03-06,171.83921813964844,173.8598837386368,171.50796687009418,173.42924697907551,188128000
2015-03-09,172.55148315429688,172.90757776811046,171.88069087325783,172.03803970687056,89818900
2015-03-10,169.75241088867188,171.2679110800424,169.71100129376214,171.1851045266571,157121300
2015-03-11,169.35484313964844,170.1829841818961,169.27202398085188,170.00906900299512,110145700
2015-03-12,171.50804138183594,171.57428155538412,169.9345655767912,169.98425202516802,93993500
2015-03-13,170.4562530517578,172.1953414628287,169.42107686549133,171.2347075656587,162410900
2015-03-16,172.7335968017578,172.8246927884757,170.4810529814841,171.18497766397894,136099200
2015-03-17,172.22018432617188,172.60112205758392,171.4085971591291,171.99658274860482,94510400
2015-03-18,174.29054260253906,174.96133472213626,171.11047188394753,171.74814392695924,228808500
2015-03-19,173.4955291748047,174.29882690791254,173.10630191705437,173.87647957216197,117917300
2015-03-20,175.02696228027344,175.5343837524502,174.26167316848532,174.4446784661776,177715100
2015-03-23,174.68592834472656,175.60926875940504,174.68592834472656,175.0352986782756,71784500
2015-03-24,173.70437622070312,175.01866878054568,173.63782767328215,174.5611681428874,77805300
2015-03-25,171.15895080566406,174.14525832253875,171.1173690675904,173.912344740838,159521700
2015-03-26,170.75128173828125,171.66629534342607,169.79466102806265,170.49341415235105,153067200
2015-03-27,171.1422576904297,171.31693646343555,170.443504519906,170.63483629030935,118939000
2015-03-30,173.23016357421875,173.52962558919126,172.15709875805342,172.17372636961676,96180400
2015-03-31,171.71617126464844,173.10535075380096,171.6579492527271,172.40659776093383,126768700
2015-04-01,171.10902404785156,171.7079482482188,170.11913508633242,171.6829941309399,137303600
2015-04-02,171.72457885742188,172.1737656359064,170.85946053116376,171.0424658427631,86900900
2015-04-06,172.88087463378906,173.3966100771019,170.70146336782645,170.8345477870806,114368200
2015-04-07,172.42332458496094,173.65444087797837,172.39005666043033,172.90579199409237,81236300
2015-04-08,173.0055694580078,173.44644234245783,172.2569207428978,172.64788540538498,89351900
2015-04-09,173.7708282470703,174.003741704266,172.34839339725607,172.83917441828757,85548900
2015-04-10,174.7190704345703,174.76066483088186,173.82069747694499,174.0203302707161,72722900
2015-04-13,173.92897033691406,175.21000771421382,173.87906209753527,174.5778028345144,74436600
2015-04-14,174.2616729736328,174.44467827112047,173.10541915377996,173.72929738807832,75099900
2015-04-15,175.04359436035156,175.55101584547447,174.644315833761,174.72750467768364,99529300
2015-04-16,174.99363708496094,175.5010584278668,174.51116984967075,174.71081540342834,68934900
2015-04-17,172.9806365966797,174.04538777213105,172.1987071756499,173.8041604387327,191113200
2015-04-20,174.5611114501953,174.8938413864011,173.820776553229,173.90395269086372,92189500
2015-04-21,174.35317993164062,175.401290821746,174.05371786406258,175.24323963429708,72559800
2015-04-22,175.2099609375,175.39296622825637,173.77087272447622,174.69421298498898,78264600
2015-04-23,175.65084838867188,176.29968076672418,174.6942274364306,174.81068420446982,102585900
2015-04-24,176.05845642089844,176.32465059604635,175.60926961638245,176.06678292189486,61327400
2015-04-27,175.32643127441406,176.7488665984701,175.13509946927405,176.6240960236707,79358100
2015-04-28,175.88375854492188,175.93366677414596,174.1285805578068,175.30147471591496,86863500
2015-04-29,175.16004943847656,175.7589608327745,174.35316595144636,174.99367176429075,125684900
2015-04-30,173.40487670898438,174.97704931085852,172.70612345816878,174.58608461209516,161304900
2015-05-01,175.28485107421875,175.3264455001387,174.08700268761004,174.18681915554853,103399700
2015-05-04,175.78390502929688,176.366188735552,175.60089976549773,175.7090300084097,70927200
2015-05-05,173.7708282470703,175.90034265873737,173.62941741183232,175.54264597550952,113326200
2015-05-06,173.0555419921875,174.62771503244838,171.99079055184353,174.31993908741035,135060200
2015-05-07,173.74598693847656,174.1702324124474,172.6230133321272,172.95574343189597,88244900
2015-05-08,176.0334930419922,176.23313866284923,175.33475240824686,175.417941256813,155877300
2015-05-11,175.19334411621094,176.25809539088837,175.1184817670937,175.9919139186372,75708100
2015-05-12,174.66928100585938,175.20998313991484,173.53798119820593,174.36150511096568,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.5242919921875,176.61579465109463,175.4429003940587,175.7174083707801,95934000
2015-05-15,176.71559143066406,176.85700230725067,176.23312407316172,176.71559143066406,76510100
2015-05-18,177.26461791992188,177.51415907420704,176.48268845559923,176.54923699435392,74549700
2015-05-19,177.2063751220703,177.65557456500738,176.9235533648642,177.38106661495368,72114600
2015-05-20,177.08157348632812,177.83022216944553,176.76547117029347,177.30616047556347,76857500
2015-05-21,177.59732055664062,177.80527994839312,176.77379679588046,176.94017446354965,64764600
2015-05-22,177.173095703125,177.63059623069003,177.1065471717183,177.214677429024,57433500
2015-05-26,175.2681884765625,177.1065552486118,174.85226965592858,176.68230992815077,124308600
2015-05-27,176.93186950683594,177.16478303853046,175.31810239949857,175.72570742638172,93214000
2015-05-28,176.73220825195312,176.84033850036474,176.0417815748373,176.62406531070803,74974600
2015-05-29,175.63417053222656,176.70723533026117,175.36798913054474,176.66565360922212,124919600
2015-06-01,175.99185180664062,176.63235749126358,175.201596090961,176.29962759516937,93338800
2015-06-02,175.81712341308594,176.50754986057942,174.9104238478639,175.53430179155728,91531000
2015-06-03,176.2830352783203,176.90691352294607,175.79225410549518,176.34958381422064,87820900
2015-06-04,174.7939910888672,176.2330661888363,174.477888825713,175.57592024961843,151882800
2015-06-05,174.49456787109375,175.16835426135324,173.83740909313252,174.64429253878083,121704700
2015-06-08,173.42147827148438,174.53615016691566,173.3466159428396,174.3864128167932,89063300
2015-06-09,173.39657592773438,173.93727807931117,172.76438380905586,173.39657592773438,105034700
2015-06-10,175.4761962890625,175.85884729444106,174.10366887951585,174.1618909301899,134551300
2015-06-11,176.04180908203125,176.42444729989205,175.6841122858548,175.91702581659672,73876400
2015-06-12,174.69419860839844,175.9170008174416,174.4196906948547,175.21826032451227,135382400
2015-06-15,173.945556640625,174.22837837118564,172.84752494385896,173.55459196309474,124384200
2015-06-16,174.89385986328125,174.977048702538,173.6211493182285,173.795828110699,85308200
2015-06-17,175.17665100097656,175.78390149721426,174.15349445962744,175.17665100097656,126708600
2015-06-18,176.99839782714844,177.46422483733193,175.2099521217295,175.7755955789997,165867900
2015-06-19,176.21263122558594,176.83118972177672,175.83648613184482,176.75596325394298,130478700
2015-06-22,177.11538696289062,177.7005029698654,176.90641604935877,177.13210820725345,70696000
2015-06-23,177.24081420898438,177.5751754173251,176.84796051536992,177.32440769971356,68476800
2015-06-24,175.95355224609375,177.34947675949232,175.92847675070024,176.97333157401434,92307300
2015-06-25,175.4186248779297,176.5805031815804,175.34339837554282,176.4551256776023,97107400
2015-06-26,175.38519287109375,176.02046014070368,174.83350635153408,175.77804663002834,104174800
2015-06-29,171.70721435546875,175.39346423799208,171.63198788959818,173.9055923916598,202621300
